,count
保护海洋,1174
见证历史,913
支持,687
保护海洋！,467
6,289
反对排放,285
保护海洋！保护地球！,285
支持！,249
保护地球,208
保护海洋！！！,196
好,189
坚决抵制日本排放核污水,149
注意安全,145
保护,144
坚决抵制日本核污水排海！！！保护海洋！！！,139
保护地球！保护海洋！,132
保护海洋，保护地球,123
好！,115
坚决抵制日本核污水排海,108
坚决抵制日本排放核污水！,99
坚决抵制日本排放核污水！！！,97
逆天,89
保护海洋！！,89
坚决抵制,87
辐岛,87
保护地球！,80
保护海洋！保护生态！保护地球！,76
唉,73
坚决抵制日本排放核污水！保护地球！,72
保护地球，保护海洋,71
坚决抵制日本排放核污染水！！！,71
保护海洋，保护地球！,70
？,70
世界可以没有日本，但不能没有海洋,69
坚决抵制日本核污水排海！！！,68
保护海洋，保护地球！！！,67
甲级战犯,64
反对排放！,63
加油,62
上热门,57
保护海洋！！保护地球！！,57
坚决抵制日本核污水排海！,55
韩国,54
好好好,54
支持！！！,54
放射性核素可能多达千余种，有的目前无检测手段！,53
保护海洋！保护地球！保护海洋！保护地球！,52
坚决抵制日本排放核污染水,52
致敬,50
泪目,50
保护海洋！！！！,50
保护地球保护海洋,49
说得好,45
保护大海,45
保护海洋！保护海洋！保护海洋！,45
《百氚东到海，核时复汐归》,45
666,44
支持支持,44
保护海洋保护地球,44
反对排放核污水！,44
上热门！,43
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！,42
坚决抵制日本排放核污染水！,42
坚决抵制！,41
啊？,38
保护地球！！！,37
保护海洋!,37
坚决抵制日本排放核污水！！,37
？？？,36
坚决抵制日本核污水排放,36
保护海洋！！！保护地球！！！,35
呵呵,34
保护地球，保护人类，守护未来,34
支持！！,34
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,33
核污染水中含上百种放射性核素！,33
——放射性核素可能多达千余种，有的目前无检测手段！,32
对,32
见证历史！,32
保护地球，保护海洋！,31
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,31
坚决抵制日本排放核污水！！！！,31
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,31
支持支持支持,30
《负责》,29
坚决抵制日本核污染水排海！,29
坚决抵制日本核污染水排海,28
反对排放！！！,28
顶,28
《甲级战犯》,27
保护海洋！守护我们唯一的家园！,27
坚决抵制日本排放核污水！！保护地球,27
哎,27
前方核能预警前方核能预警前方核能预警前方核能预警前方核能预警前方核能预警前方核能预警前方核能预警前方核能预警,27
坚决抵制日本核污水排海！！,27
已经排了,27
说的好,27
好！！！,26
注意安全啊,26
保护地球！！！保护海洋！！！,26
卧槽,26
坚决抵制排放核污水！,26
是的,26
哈哈哈,25
地球可以没有日本，但不能没有海洋,25
岸田、东电向全人类、向海陆空生灵宣战！,25
反对,25
世界可以没有日本，但不能没有海洋！,25
坚决抵制日本核污染水排海！！！,24
保护海洋！保护海洋！,24
保护海洋！保护海洋！保护海洋！保护海洋！,24
畜牲,23
笑死,23
赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,23
注意安全！,23
强烈支持,23
躬匠精神,23
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,22
抵制,22
1,22
坚决抵制日本核污水排海！！！！,22
泪目了,22
请加大力度,21
保护地球，保护环境，保护海洋,21
战地记者,21
掩耳盗铃,21
拒绝核污水排放！,21
我们联合！,21
坚决抵制核污水排海,21
（欢迎转发）此刻，真的愿意直接就这样划走吗？“如果地球上连一滴干净的水，一口干净的空气都没有，你挣再多的钱也是死路一条。”——《美人鱼》“起初，没有人在意这一场灾难，这不过是一场山火、一次,21
保护地球，保护海洋！！！,21
拭目以待,20
英雄,20
反对排放核污水！！！,20
干的漂亮,20
海纳百氚,20
坚决抵制日本排放核污水！保护海洋生态！,20
使徒来袭,20
哈哈哈哈,20
漂亮,19
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,19
对！,19
支持!,19
离谱,19
保护地球，保护海洋! 保护地球，保护海洋!,19
保护地球！！！！,19
日本向全人类、向海陆空生灵宣战！,18
反对排放核污水,18
核污染水中含上百种放射性核元素！,18
环保少女呢,18
地球可以没有日本，但不能没有海洋！,18
好家伙,17
保护海洋！！！！！！,17
